갑자(甲子) ,13.3,26.7,25.0,,,,,,,,65.0
을축(乙丑) ,,12.0,,25.0,,,,24.0,,4.0,65.0
병인(丙寅) ,,,21.3,,34.3,,9.3,,,,65.0
정묘(丁卯) ,,,13.3,26.7,,25.0,,,,,65.0
무진(戊辰) ,,4.0,,12.0,,,49.0,,,,65.0
기사(己巳) ,,,,,21.3,,9.3,25.0,9.3,,65.0
경오(庚午) ,,,,,13.3,14.7,,12.0,25.0,,65.0
신미(辛未) ,,,,4.0,,12.0,,24.0,,25.0,65.0
임신(壬申) ,34.3,,,,,,9.3,,21.3,,65.0
계유(癸酉) ,,25.0,,,,,,,13.3,26.7,65.0
갑술(甲戌) ,,,25.0,,,4.0,24.0,,,12.0,65.0
을해(乙亥) ,21.3,,9.3,25.0,,,9.3,,,,65.0
병자(丙子) ,13.3,26.7,,,25.0,,,,,,65.0
정축(丁丑) ,,12.0,,,,25.0,,24.0,,4.0,65.0
무인(戊寅) ,,,21.3,,9.3,,34.3,,,,65.0
기묘(己卯) ,,,13.3,26.7,,,,25.0,,,65.0
경진(庚辰) ,,4.0,,12.0,,,24.0,,25.0,,65.0
신사(辛巳) ,,,,,21.3,,9.3,,9.3,25.0,65.0
임오(壬午) ,25.0,,,,13.3,14.7,,12.0,,,65.0
계미(癸未) ,,25.0,,4.0,,12.0,,24.0,,,65.0
갑신(甲申) ,9.3,,25.0,,,,9.3,,21.3,,65.0
을유(乙酉) ,,,,25.0,,,,,13.3,26.7,65.0
병술(丙戌) ,,,,,25.0,4.0,24.0,,,12.0,65.0
정해(丁亥) ,21.3,,9.3,,,25.0,9.3,,,,65.0
무자(戊子) ,13.3,26.7,,,,,25.0,,,,65.0
기축(己丑) ,,12.0,,,,,,49.0,,4.0,65.0
경인(庚寅) ,,,21.3,,9.3,,9.3,,25.0,,65.0
신묘(辛卯) ,,,13.3,26.7,,,,,,25.0,65.0
임진(壬辰) ,25.0,4.0,,12.0,,,24.0,,,,65.0
계사(癸巳) ,,25.0,,,21.3,,9.3,,9.3,,65.0
갑오(甲午) ,,,25.0,,13.3,14.7,,12.0,,,65.0
을미(乙未) ,,,,29.0,,12.0,,24.0,,,65.0
병신(丙申) ,9.3,,,,25.0,,9.3,,21.3,,65.0
정유(丁酉) ,,,,,,25.0,,,13.3,26.7,65.0
무술(戊戌) ,,,,,,4.0,49.0,,,12.0,65.0
기해(己亥) ,21.3,,9.3,,,,9.3,25.0,,,65.0
경자(庚子) ,13.3,26.7,,,,,,,25.0,,65.0
신축(辛丑) ,,12.0,,,,,,24.0,,29.0,65.0
임인(壬寅) ,25.0,,21.3,,9.3,,9.3,,,,65.0
계묘(癸卯) ,,25.0,13.3,26.7,,,,,,,65.0
갑진(甲辰) ,,4.0,25.0,12.0,,,24.0,,,,65.0
을사(乙巳) ,,,,25.0,21.3,,9.3,,9.3,,65.0
병오(丙午) ,,,,,38.3,14.7,,12.0,,,65.0
정미(丁未) ,,,,4.0,,37.0,,24.0,,,65.0
무신(戊申) ,9.3,,,,,,34.3,,21.3,,65.0
기유(己酉) ,,,,,,,,25.0,13.3,26.7,65.0
경술(庚戌) ,,,,,,4.0,24.0,,25.0,12.0,65.0
신해(辛亥) ,21.3,,9.3,,,,9.3,,,25.0,65.0
임자(壬子) ,38.3,26.7,,,,,,,,,65.0
계축(癸丑) ,,37.0,,,,,,24.0,,4.0,65.0
갑인(甲寅) ,,,46.3,,9.3,,9.3,,,,65.0
을묘(乙卯) ,,,13.3,51.7,,,,,,,65.0
병진(丙辰) ,,4.0,,12.0,25.0,,24.0,,,,65.0
정사(丁巳) ,,,,,21.3,25.0,9.3,,9.3,,65.0
무오(戊午) ,,,,,13.3,14.7,25.0,12.0,,,65.0
기미(己未) ,,,,4.0,,12.0,,49.0,,,65.0
경신(庚申) ,9.3,,,,,,9.3,,46.3,,65.0
신유(辛酉) ,,,,,,,,,13.3,51.7,65.0
임술(壬戌) ,25.0,,,,,4.0,24.0,,,12.0,65.0
계해(癸亥) ,21.3,25.0,9.3,,,,9.3,,,,65.0