갑자(甲子) ,,5.0,10.0,10.0,,,,,,,,25.0
을축(乙丑) ,,4.5,,10.0,,,,9.0,,1.5,25.0
병인(丙寅) ,,,8.0,,13.5,,3.5,,,,25.0
정묘(丁卯) ,,,5.0,10.0,,10.0,,,,,25.0
무진(戊辰) ,,1.5,,4.5,,,19.0,,,,25.0
기사(己巳) ,,,,,8.0,,3.5,10.0,3.5,,25.0
경오(庚午) ,,,,,5.0,5.5,,4.5,10.0,,25.0
신미(辛未) ,,,,1.5,,4.5,,9.0,,10.0,25.0
임신(壬申) ,13.5,,,,,,3.5,,8.0,,25.0
계유(癸酉) ,,10.0,,,,,,,5.0,10.0,25.0
갑술(甲戌) ,,,10.0,,,1.5,9.0,,,4.5,25.0
을해(乙亥) ,8.0,,3.5,10.0,,,3.5,,,,25.0
병자(丙子) ,5.0,10.0,,,10.0,,,,,,25.0
정축(丁丑) ,,4.5,,,,10.0,,9.0,,1.5,25.0
무인(戊寅) ,,,8.0,,3.5,,13.5,,,,25.0
기묘(己卯) ,,,5.0,10.0,,,,10.0,,,25.0
경진(庚辰) ,,1.5,,4.5,,,9.0,,10.0,,25.0
신사(辛巳) ,,,,,8.0,,3.5,,3.5,10.0,25.0
임오(壬午) ,10.0,,,,5.0,5.5,,4.5,,,25.0
계미(癸未) ,,10.0,,1.5,,4.5,,9.0,,,25.0
갑신(甲申) ,3.5,,10.0,,,,3.5,,8.0,,25.0
을유(乙酉) ,,,,10.0,,,,,5.0,10.0,25.0
병술(丙戌) ,,,,,10.0,1.5,9.0,,,4.5,25.0
정해(丁亥) ,8.0,,3.5,,,10.0,3.5,,,,25.0
무자(戊子) ,5.0,10.0,,,,,10.0,,,,25.0
기축(己丑) ,,4.5,,,,,,19.0,,1.5,25.0
경인(庚寅) ,,,8.0,,3.5,,3.5,,10.0,,25.0
신묘(辛卯) ,,,5.0,10.0,,,,,,10.0,25.0
임진(壬辰) ,10.0,1.5,,4.5,,,9.0,,,,25.0
계사(癸巳) ,,10.0,,,8.0,,3.5,,3.5,,25.0
갑오(甲午) ,,,10.0,,5.0,5.5,,4.5,,,25.0
을미(乙未) ,,,,11.5,,4.5,,9.0,,,25.0
병신(丙申) ,3.5,,,,10.0,,3.5,,8.0,,25.0
정유(丁酉) ,,,,,,10.0,,,5.0,10.0,25.0
무술(戊戌) ,,,,,,1.5,19.0,,,4.5,25.0
기해(己亥) ,8.0,,3.5,,,,3.5,10.0,,,25.0
경자(庚子) ,5.0,10.0,,,,,,,10.0,,25.0
신축(辛丑) ,,4.5,,,,,,9.0,,11.5,25.0
임인(壬寅) ,10.0,,8.0,,3.5,,3.5,,,,25.0
계묘(癸卯) ,,10.0,5.0,10.0,,,,,,,25.0
갑진(甲辰) ,,1.5,10.0,4.5,,,9.0,,,,25.0
을사(乙巳) ,,,,10.0,8.0,,3.5,,3.5,,25.0
병오(丙午) ,,,,,15.0,5.5,,4.5,,,25.0
정미(丁未) ,,,,1.5,,14.5,,9.0,,,25.0
무신(戊申) ,3.5,,,,,,13.5,,8.0,,25.0
기유(己酉) ,,,,,,,,10.0,5.0,10.0,25.0
경술(庚戌) ,,,,,,1.5,9.0,,10.0,4.5,25.0
신해(辛亥) ,8.0,,3.5,,,,3.5,,,10.0,25.0
임자(壬子) ,15.0,10.0,,,,,,,,,25.0
계축(癸丑) ,,14.5,,,,,,9.0,,1.5,25.0
갑인(甲寅) ,,,18.0,,3.5,,3.5,,,,25.0
을묘(乙卯) ,,,5.0,20.0,,,,,,,25.0
병진(丙辰) ,,1.5,,4.5,10.0,,9.0,,,,25.0
정사(丁巳) ,,,,,8.0,10.0,3.5,,3.5,,25.0
무오(戊午) ,,,,,5.0,5.5,10.0,4.5,,,25.0
기미(己未) ,,,,1.5,,4.5,,19.0,,,25.0
경신(庚申) ,3.5,,,,,,3.5,,18.0,,25.0
신유(辛酉) ,,,,,,,,,5.0,20.0,25.0
임술(壬戌) ,10.0,,,,,1.5,9.0,,,4.5,25.0
계해(癸亥) ,8.0,10.0,3.5,,,,3.5,,,,25.0