갑자(甲子),10,,,,30,40
을축(乙丑),10,,18,3,9,40
병인(丙寅),16,17,7,,,40
정묘(丁卯),30,10,,,,40
무진(戊辰),9,,28,,3,40
기사(己巳),,16,17,7,,40
경오(庚午),,21,9,10,,40
신미(辛未),3,9,18,10,,40
임신(壬申),,,7,16,17,40
계유(癸酉),,,,30,10,40
갑술(甲戌),10,3,18,9,,40
을해(乙亥),17,,7,,16,40
병자(丙子),,10,,,30,40
정축(丁丑),,10,18,3,9,40
무인(戊寅),16,7,17,,,40
기묘(己卯),30,,10,,,40
경진(庚辰),9,,18,10,3,40
신사(辛巳),,16,7,17,,40
임오(壬午),,21,9,,10,40
계미(癸未),3,9,18,,10,40
갑신(甲申),10,,7,16,7,40
을유(乙酉),10,,,30,,40
병술(丙戌),,13,18,9,,40
정해(丁亥),7,10,7,,16,40
무자(戊子),,,10,,30,40
기축(己丑),,,28,3,9,40
경인(庚寅),16,7,7,10,,40
신묘(辛卯),30,,,10,,40
임진(壬辰),9,,18,,13,40
계사(癸巳),,16,7,7,10,40
갑오(甲午),10,21,9,,,40
을미(乙未),13,9,18,,,40
병신(丙申),,10,7,16,7,40
정유(丁酉),,10,,30,,40
무술(戊戌),,3,28,9,,40
기해(己亥),7,,17,,16,40
경자(庚子),,,,10,30,40
신축(辛丑),,,18,13,9,40
임인(壬寅),16,7,7,,10,40
계묘(癸卯),30,,,,10,40
갑진(甲辰),19,,18,,3,40
을사(乙巳),10,16,7,7,,40
병오(丙午),,31,9,,,40
정미(丁未),3,19,18,,,40
무신(戊申),,,17,16,7,40
기유(己酉),,,10,30,,40
경술(庚戌),,3,18,19,,40
신해(辛亥),7,,7,10,16,40
임자(壬子),,,,,40,40
계축(癸丑),,,18,3,19,40
갑인(甲寅),26,7,7,,,40
을묘(乙卯),40,,,,,40
병진(丙辰),9,10,18,,3,40
정사(丁巳),,26,7,7,,40
무오(戊午),,21,19,,,40
기미(己未),3,9,28,,,40
경신(庚申),,,7,26,7,40
신유(辛酉),,,,40,,40
임술(壬戌),,3,18,9,10,40
계해(癸亥),7,,7,,26,40