갑자(甲子),2,0,0,0,2,4
을축(乙丑),2,0,1.2,0.2,0.6,4
병인(丙寅),1.08,2.46,0.46,0,0,4
정묘(丁卯),2,2,0,0,0,4
무진(戊辰),0.6,0,3.2,0,0.2,4
기사(己巳),0,1.08,2.46,0.46,0,4
경오(庚午),0,1.4,0.6,2,0,4
신미(辛未),0.2,0.6,1.2,2,0,4
임신(壬申),0,0,0.46,1.08,2.46,4
계유(癸酉),0,0,0,2,2,4
갑술(甲戌),2,0.2,1.2,0.6,0,4
을해(乙亥),2.46,0,0.46,0,1.08,4
병자(丙子),0,2,0,0,2,4
정축(丁丑),0,2,1.2,0.2,0.6,4
무인(戊寅),1.08,0.46,2.46,0,0,4
기묘(己卯),2,0,2,0,0,4
경진(庚辰),0.6,0,1.2,2,0.2,4
신사(辛巳),0,1.08,0.46,2.46,0,4
임오(壬午),0,1.4,0.6,0,2,4
계미(癸未),0.2,0.6,1.2,0,2,4
갑신(甲申),2,0,0.46,1.08,0.46,4
을유(乙酉),2,0,0,2,0,4
병술(丙戌),0,2.2,1.2,0.6,0,4
정해(丁亥),0.46,2,0.46,0,1.08,4
무자(戊子),0,0,2,0,2,4
기축(己丑),0,0,3.2,0.2,0.6,4
경인(庚寅),1.08,0.46,0.46,2,0,4
신묘(辛卯),2,0,0,2,0,4
임진(壬辰),0.6,0,1.2,0,2.2,4
계사(癸巳),0,1.08,0.46,0.46,2,4
갑오(甲午),2,1.4,0.6,0,0,4
을미(乙未),2.2,0.6,1.2,0,0,4
병신(丙申),0,2,0.46,1.08,0.46,4
정유(丁酉),0,2,0,2,0,4
무술(戊戌),0,0.2,3.2,0.6,0,4
기해(己亥),0.46,0,2.46,0,1.08,4
경자(庚子),0,0,0,2,2,4
신축(辛丑),0,0,1.2,2.2,0.6,4
임인(壬寅),1.08,0.46,0.46,0,2,4
계묘(癸卯),2,0,0,0,2,4
갑진(甲辰),2.2,0,1.2,0,0.6,4
을사(乙巳),2,1.08,0.46,0.46,0,4
병오(丙午),0,3.4,0.6,0,0,4
정미(丁未),0.6,2.2,1.2,0,0,4
무신(戊申),0,0,2.46,1.08,0.46,4
기유(己酉),0,0,2,2,0,4
경술(庚戌),0,0.6,1.2,2.2,0,4
신해(辛亥),0.46,0,0.46,2,1.08,4
임자(壬子),0,0,0,0,4,4
계축(癸丑),0,0,1.2,0.2,2.6,4
갑인(甲寅),3.08,0.46,0.46,0,0,4
을묘(乙卯),4,0,0,0,0,4
병진(丙辰),0.6,2,1.2,0,0.2,4
정사(丁巳),0,3.08,0.46,0.46,0,4
무오(戊午),0,1.4,2.6,0,0,4
기미(己未),0.2,0.6,3.2,0,0,4
경신(庚申),0,0,0.46,3.08,0.46,4
신유(辛酉),0,0,0,4,0,4
임술(壬戌),0,0.2,1.2,0.6,2,4
계해(癸亥),0.46,0,0.46,0,3.08,4