갑자(甲子),5,,,,8,13
을축(乙丑),5,,4.8,0.8,2.4,13
병인(丙寅),4.32,6.84,1.84,,,13
정묘(丁卯),8,5,,,,13
무진(戊辰),2.4,,9.8,,0.8,13
기사(己巳),,4.32,6.84,1.84,,13
경오(庚午),,5.6,2.4,5,,13
신미(辛未),0.8,2.4,4.8,5,,13
임신(壬申),,,1.84,4.32,6.84,13
계유(癸酉),,,,8,5,13
갑술(甲戌),5,0.8,4.8,2.4,,13
을해(乙亥),6.84,,1.84,,4.32,13
병자(丙子),,5,,,8,13
정축(丁丑),,5,4.8,0.8,2.4,13
무인(戊寅),4.32,1.84,6.84,,,13
기묘(己卯),8,,5,,,13
경진(庚辰),2.4,,4.8,5,0.8,13
신사(辛巳),,4.32,1.84,6.84,,13
임오(壬午),,5.6,2.4,,5,13
계미(癸未),0.8,2.4,4.8,,5,13
갑신(甲申),5,,1.84,4.32,1.84,13
을유(乙酉),5,,,8,,13
병술(丙戌),,5.8,4.8,2.4,,13
정해(丁亥),1.84,5,1.84,,4.32,13
무자(戊子),,,5,,8,13
기축(己丑),,,9.8,0.8,2.4,13
경인(庚寅),4.32,1.84,1.84,5,,13
신묘(辛卯),8,,,5,,13
임진(壬辰),2.4,,4.8,,5.8,13
계사(癸巳),,4.32,1.84,1.84,5,13
갑오(甲午),5,5.6,2.4,,,13
을미(乙未),5.8,2.4,4.8,,,13
병신(丙申),,5,1.84,4.32,1.84,13
정유(丁酉),,5,,8,,13
무술(戊戌),,0.8,9.8,2.4,,13
기해(己亥),1.84,,6.84,,4.32,13
경자(庚子),,,,5,8,13
신축(辛丑),,,4.8,5.8,2.4,13
임인(壬寅),4.32,1.84,1.84,,5,13
계묘(癸卯),8,,,,5,13
갑진(甲辰),5.8,,4.8,,2.4,13
을사(乙巳),5,4.32,1.84,1.84,,13
병오(丙午),,10.6,2.4,,,13
정미(丁未),2.4,5.8,4.8,,,13
무신(戊申),,,6.84,4.32,1.84,13
기유(己酉),,,5,8,,13
경술(庚戌),,2.4,4.8,5.8,,13
신해(辛亥),1.84,,1.84,5,4.32,13
임자(壬子),,,,,13,13
계축(癸丑),,,4.8,0.8,7.4,13
갑인(甲寅),9.32,1.84,1.84,,,13
을묘(乙卯),13,,,,,13
병진(丙辰),2.4,5,4.8,,0.8,13
정사(丁巳),,9.32,1.84,1.84,,13
무오(戊午),,5.6,7.4,,,13
기미(己未),0.8,2.4,9.8,,,13
경신(庚申),,,1.84,9.32,1.84,13
신유(辛酉),,,,13,,13
임술(壬戌),,0.8,4.8,2.4,5,13
계해(癸亥),1.84,,1.84,,9.32,13