갑자(甲子) ,-1.4,-0.6,-3.1,0.3,-1.4,0.3,-1.8,1.2,-2.8
을축(乙丑) ,-1.1,0.4,-4.2,2.0,-1.1,2.0,0.3,7.8,-2.2
병인(丙寅) ,15.6,14.6,17.7,13.6,15.6,13.6,37.0,54.2,31.2
정묘(丁卯) ,23.7,21.2,28.8,18.6,23.7,18.6,54.2,74.4,47.4
무진(戊辰) ,29.1,24.7,37.9,20.3,29.1,20.3,64.0,81.2,58.2
기사(己巳) ,20.8,15.1,32.2,9.4,20.8,9.4,40.6,37.6,41.6
경오(庚午) ,24.9,18.2,38.4,11.5,24.9,11.5,48.8,45.8,49.8
신미(辛未) ,23.8,16.6,38.2,9.4,23.8,9.4,45.1,37.6,47.6
임신(壬申) ,10.6,5.1,21.7,-0.5,10.6,-0.5,15.5,-1.8,21.2
계유(癸酉) ,3.2,-1.0,11.6,-5.2,3.2,-5.2,-0.4,-20.6,6.4
갑술(甲戌) ,11.8,9.4,16.7,6.9,11.8,6.9,24.6,27.6,23.6
을해(乙亥) ,7.9,7.2,9.4,6.5,7.9,6.5,18.3,25.8,15.8
병자(丙子) ,8.1,9.0,6.4,9.8,8.1,9.8,22.0,39.2,16.2
정축(丁丑) ,7.4,8.9,4.4,10.5,7.4,10.5,21.6,41.8,14.8
무인(戊寅) ,15.6,14.6,17.7,13.6,15.6,13.6,37.0,54.2,31.2
기묘(己卯) ,8.2,5.7,13.3,3.1,8.2,3.1,15.4,12.4,16.4
경진(庚辰) ,15.6,11.2,24.4,6.8,15.6,6.8,30.2,27.2,31.2
신사(辛巳) ,17.8,12.1,29.2,6.4,17.8,6.4,33.1,25.6,35.6
임오(壬午) ,15.4,8.7,28.9,2.0,15.4,2.0,25.1,7.8,30.8
계미(癸未) ,15.3,8.1,29.7,0.9,15.3,0.9,23.9,3.6,30.6
갑신(甲申) ,24.1,18.6,35.2,13.1,24.1,13.1,49.2,52.2,48.2
을유(乙酉) ,21.7,17.5,30.1,13.4,21.7,13.4,45.9,53.4,43.4
병술(丙戌) ,21.3,18.9,26.2,16.4,21.3,16.4,48.4,65.6,42.6
정해(丁亥) ,16.4,15.7,17.9,15.0,16.4,15.0,39.6,59.8,32.8
무자(戊子) ,8.1,9.0,6.4,9.8,8.1,9.8,22.0,39.2,16.2
기축(己丑) ,-8.1,-6.6,-11.2,-5.1,-8.1,-5.1,-17.2,-20.2,-16.2
경인(庚寅) ,2.1,1.1,4.2,0.1,2.1,0.1,3.2,0.2,4.2
신묘(辛卯) ,5.2,2.7,10.3,0.1,5.2,0.1,7.9,0.4,10.4
임진(壬辰) ,6.1,1.7,14.9,-2.7,6.1,-2.7,6.5,-10.8,12.2
계사(癸巳) ,9.3,3.6,20.7,-2.1,9.3,-2.1,11.9,-8.4,18.6
갑오(甲午) ,28.9,22.2,42.4,15.5,28.9,15.5,58.8,61.8,57.8
을미(乙未) ,33.8,26.6,48.2,19.4,33.8,19.4,70.1,77.6,67.6
병신(丙申) ,33.6,28.1,44.7,22.6,33.6,22.6,73.0,90.2,67.2
정유(丁酉) ,30.2,26.0,38.6,21.9,30.2,21.9,67.2,87.4,60.4
무술(戊戌) ,21.3,18.9,26.2,16.4,21.3,16.4,48.4,65.6,42.6
기해(己亥) ,0.9,0.2,2.4,-0.6,0.9,-0.6,0.8,-2.2,1.8
경자(庚子) ,-5.4,-4.6,-7.1,-3.7,-5.4,-3.7,-11.8,-14.8,-10.8
신축(辛丑) ,-11.1,-9.6,-14.2,-8.1,-11.1,-8.1,-24.7,-32.2,-22.2
임인(壬寅) ,-7.4,-8.4,-5.4,-9.5,-7.4,-9.5,-20.6,-37.8,-14.8
계묘(癸卯) ,-3.3,-5.9,1.8,-8.4,-3.3,-8.4,-13.4,-33.6,-6.6
갑진(甲辰) ,19.6,15.2,28.4,10.8,19.6,10.8,40.2,43.2,39.2
을사(乙巳) ,27.8,22.1,39.2,16.4,27.8,16.4,58.1,65.6,55.6
병오(丙午) ,38.4,31.7,51.9,25.0,38.4,25.0,82.6,99.8,76.8
정미(丁未) ,42.3,35.1,56.7,27.9,42.3,27.9,91.4,111.6,84.6
무신(戊申) ,33.6,28.1,44.7,22.6,33.6,22.6,73.0,90.2,67.2
기유(己酉) ,14.7,10.5,23.1,6.4,14.7,6.4,28.4,25.4,29.4
경술(庚戌) ,7.8,5.4,12.7,2.9,7.8,2.9,14.6,11.6,15.6
신해(辛亥) ,-2.1,-2.8,-0.7,-3.6,-2.1,-3.6,-6.7,-14.2,-4.2
임자(壬子) ,-14.9,-14.1,-16.6,-13.2,-14.9,-13.2,-35.6,-52.8,-29.8
계축(癸丑) ,-19.6,-18.1,-22.7,-16.6,-19.6,-16.6,-46.0,-66.2,-39.2
갑인(甲寅) ,6.1,5.1,8.2,4.1,6.1,4.1,13.2,16.2,12.2
을묘(乙卯) ,15.2,12.7,20.3,10.1,15.2,10.1,32.9,40.4,30.4
병진(丙辰) ,29.1,24.7,37.9,20.3,29.1,20.3,64.0,81.2,58.2
정사(丁巳) ,36.3,30.6,47.7,24.9,36.3,24.9,79.4,99.6,72.6
무오(戊午) ,38.4,31.7,51.9,25.0,38.4,25.0,82.6,99.8,76.8
기미(己未) ,26.8,19.6,41.2,12.4,26.8,12.4,52.6,49.6,53.6
경신(庚申) ,20.1,14.6,31.2,9.1,20.1,9.1,39.2,36.2,40.2
신유(辛酉) ,11.7,7.5,20.1,3.4,11.7,3.4,20.9,13.4,23.4
임술(壬戌) ,-1.7,-4.2,3.2,-6.6,-1.7,-6.6,-9.2,-26.4,-3.4
계해(癸亥) ,-10.6,-11.3,-9.2,-12.1,-10.6,-12.1,-28.0,-48.2,-21.2